"","rowid","term","group","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","riskaverse","predicted_lo","predicted_hi","predicted","trust","lossavers","Strategies3"
"54",10,"riskaverse","2",0.10299270512208,0.112279945060429,0.917284961857161,0.35899333547674,1.4779710334683,-0.117071943382497,0.323057353626657,0.9,0.453194272427167,0.453201762805945,0.453198017621321,8.75901875901876,0.517797024713622,4
"55",11,"riskaverse","2",0.102211253863421,0.11428780527646,0.894332108453516,0.371144225445524,1.42994817245779,-0.121788728350567,0.326211236077409,1,0.463455503939168,0.463462937485125,0.463459220717709,8.75901875901876,0.517797024713622,4
"56",1,"trust","2",0.00701914357095768,0.00401232808857045,1.74939422101409,0.0802228991210347,3.63984208610094,-0.000844874976798846,0.0148831621187142,0,0.359168758962476,0.359179989592189,0.35917437442147,8.75901875901876,0.517797024713622,4
"57",2,"trust","2",0.00689347973363563,0.00398056071022706,1.73178610639565,0.0833116527759042,3.58533789074751,-0.000908275896684588,0.0146952353639559,0.1,0.369602827642398,0.369613857209972,0.369608342579262,8.75901875901876,0.517797024713622,4
"58",3,"trust","2",0.00675071534134847,0.00393789598650552,1.71429498505851,0.0864745637052833,3.5315803600642,-0.00096741896706718,0.0144688496497641,0.2,0.380072333013634,0.38008313415818,0.380077733747782,8.75901875901876,0.517797024713622,4
"59",4,"trust","2",0.0065910991254442,0.00390954726518482,1.68589830954061,0.0918153876086403,3.44512023040228,-0.00107147271017511,0.0142536709610635,0.3,0.390563433424231,0.390573979182831,0.390568706474021,8.75901875901876,0.517797024713622,4
"60",5,"trust","2",0.00641497746138586,0.00389451862305316,1.64718109791878,0.0995208278201203,3.32885770383379,-0.00121813877691886,0.0140480936996906,0.4,0.401062253473795,0.401072517437733,0.401067385634644,8.75901875901876,0.517797024713622,4
"61",6,"trust","2",0.00622279165227863,0.00389897634307293,1.59600651677055,0.11048733838554,3.17804704558759,-0.00141906155671801,0.0138646448612753,0.5,0.411554961232459,0.411564917699103,0.411559939652785,8.75901875901876,0.517797024713622,4
"62",7,"trust","2",0.00601507408701241,0.00393362988992506,1.52914083310644,0.126229534523138,2.98587859086701,-0.00169469882575097,0.0137248469997758,0.6,0.422027844607293,0.422037468725832,0.422032656861388,8.75901875901876,0.517797024713622,4
"63",8,"trust","2",0.00579244334424772,0.00401417267920815,1.44299804895049,0.149021020839976,2.74641224391432,-0.0020751905347249,0.0136600772232203,0.7,0.432467385964923,0.432476653874274,0.432472020121907,8.75901875901876,0.517797024713622,4
"64",9,"trust","2",0.00555559832717684,0.00412313673974797,1.34742034471465,0.177844891866763,2.49130855756561,-0.00252560118606309,0.0136367978404168,0.8,0.442860334157724,0.442869223115048,0.442864778845808,8.75901875901876,0.517797024713622,4
"65",10,"trust","2",0.00530531153685593,0.00425200293526256,1.24772057254667,0.212133404675445,2.23695627474993,-0.00302846107841728,0.0136390841521291,0.9,0.453193773155955,0.453202261654414,0.453198017621321,8.75901875901876,0.517797024713622,4
"66",11,"trust","2",0.0050424216043593,0.00443592210121973,1.13672456127505,0.255653448363274,1.96773860904228,-0.00365182595225661,0.0137366691609752,1,0.463455186557998,0.463463254432565,0.463459220717709,8.75901875901876,0.517797024713622,4
"67",1,"lossavers","4",0.265970383490632,0.102997121551226,2.58230889839335,0.00981416985014263,6.67091804485998,0.0640997347389356,0.467841032242329,0,0.510735964991448,0.510762562029797,0.510749263519317,8.75901875901876,0.517797024713622,4
"68",2,"lossavers","4",0.266135659772737,0.10317309770491,2.57950634121624,0.009894164198445,6.65920644274422,0.063920104097682,0.468351215447792,0.1,0.497523096891337,0.497549710457314,0.497536403673664,8.75901875901876,0.517797024713622,4
